Unidad de Negocio,Ruta,Numero Cliente,Cliente,Frecuencia de Visita,Venta Mensual
GDL 2,BVA116,20061,Cliente Demo 61,Quincenal,12044.61
MTY 1,BVA200,20062,Cliente Demo 62,Semanal,3451.24
GDL 2,BVA117,20063,Cliente Demo 63,Semanal,0.0
GDL 2,BVA117,20064,Cliente Demo 64,Semanal,2931.33
GDL 2,BVA118,20065,Cliente Demo 65,Mensual,0.0
GDL 2,BVA117,20066,Cliente Demo 66,Quincenal,0.0
MTY 1,BVA201,20067,Cliente Demo 67,Mensual,0.0
GDL 2,BVA124,20068,Cliente Demo 68,Mensual,0.0
MTY 1,BVA201,20069,Cliente Demo 69,Quincenal,0.0
GDL 1,BVA200,20070,Cliente Demo 70,Mensual,0.0
GDL 2,BVA124,20071,Cliente Demo 71,Quincenal,13574.3
GDL 2,BVA116,20072,Cliente Demo 72,Semanal,0.0
MTY 1,BVA200,20073,Cliente Demo 73,Quincenal,0.0
GDL 1,BVA200,20074,Cliente Demo 74,Semanal,3930.97
GDL 1,BVA200,20075,Cliente Demo 75,Mensual,3675.17
GDL 1,BVA200,20076,Cliente Demo 76,Mensual,946.93
GDL 2,BVA118,20077,Cliente Demo 77,Semanal,0.0
GDL 2,BVA124,20078,Cliente Demo 78,Mensual,0.0
GDL 2,BVA117,20079,Cliente Demo 79,Quincenal,0.0
MTY 1,BVA201,20080,Cliente Demo 80,Semanal,0.0
GDL 1,BVA200,20081,Cliente Demo 81,Mensual,0.0
GDL 2,BVA124,20082,Cliente Demo 82,Semanal,0.0
GDL 2,BVA117,20083,Cliente Demo 83,Quincenal,0.0
GDL 2,BVA118,20084,Cliente Demo 84,Quincenal,0.0
GDL 2,BVA118,20085,Cliente Demo 85,Mensual,10205.63
GDL 1,BVA200,20086,Cliente Demo 86,Quincenal,0.0
GDL 1,BVA201,20087,Cliente Demo 87,Semanal,0.0
MTY 1,BVA200,20088,Cliente Demo 88,Quincenal,15553.61
GDL 2,BVA124,20089,Cliente Demo 89,Semanal,17046.24
GDL 2,BVA116,20090,Cliente Demo 90,Semanal,0.0
GDL 1,BVA201,20091,Cliente Demo 91,Quincenal,5092.18
GDL 1,BVA201,20092,Cliente Demo 92,Mensual,11698.79
GDL 1,BVA200,20093,Cliente Demo 93,Quincenal,0.0
GDL 1,BVA201,20094,Cliente Demo 94,Semanal,749.34
GDL 2,BVA118,20095,Cliente Demo 95,Semanal,3063.9
GDL 2,BVA116,20096,Cliente Demo 96,Quincenal,0.0
GDL 2,BVA124,20097,Cliente Demo 97,Mensual,0.0
GDL 2,BVA118,20098,Cliente Demo 98,Mensual,779.6
GDL 2,BVA118,20099,Cliente Demo 99,Semanal,4228.91
GDL 2,BVA124,20100,Cliente Demo 100,Semanal,0.0
GDL 1,BVA201,20101,Cliente Demo 101,Mensual,0.0
GDL 2,BVA118,20102,Cliente Demo 102,Quincenal,0.0
GDL 2,BVA117,20103,Cliente Demo 103,Semanal,2142.72
MTY 1,BVA201,20104,Cliente Demo 104,Semanal,14458.51
GDL 2,BVA117,20105,Cliente Demo 105,Mensual,0.0
GDL 2,BVA116,20106,Cliente Demo 106,Quincenal,11853.61
GDL 1,BVA201,20107,Cliente Demo 107,Mensual,4515.84
GDL 2,BVA118,20108,Cliente Demo 108,Quincenal,0.0
GDL 2,BVA118,20109,Cliente Demo 109,Quincenal,0.0
GDL 2,BVA116,20110,Cliente Demo 110,Quincenal,13084.12
GDL 2,BVA124,20111,Cliente Demo 111,Semanal,15445.83
MTY 1,BVA200,20112,Cliente Demo 112,Mensual,14994.89
MTY 1,BVA200,20113,Cliente Demo 113,Mensual,7330.15
GDL 1,BVA201,20114,Cliente Demo 114,Quincenal,0.0
MTY 1,BVA201,20115,Cliente Demo 115,Semanal,3928.22
MTY 1,BVA201,20116,Cliente Demo 116,Semanal,5488.71
GDL 2,BVA118,20117,Cliente Demo 117,Mensual,0.0
MTY 1,BVA200,20118,Cliente Demo 118,Semanal,0.0
GDL 2,BVA124,20119,Cliente Demo 119,Semanal,0.0
MTY 1,BVA200,20120,Cliente Demo 120,Quincenal,0.0
MTY 1,BVA201,20121,Cliente Demo 121,Semanal,0.0
GDL 2,BVA124,20122,Cliente Demo 122,Quincenal,0.0
GDL 2,BVA116,20123,Cliente Demo 123,Mensual,0.0
GDL 2,BVA124,20124,Cliente Demo 124,Semanal,0.0
GDL 2,BVA116,20125,Cliente Demo 125,Mensual,16100.29
MTY 1,BVA201,20126,Cliente Demo 126,Mensual,14768.75
MTY 1,BVA200,20127,Cliente Demo 127,Semanal,6350.17
GDL 2,BVA124,20128,Cliente Demo 128,Semanal,4891.79
GDL 2,BVA116,20129,Cliente Demo 129,Mensual,7020.56
GDL 2,BVA118,20130,Cliente Demo 130,Semanal,0.0
GDL 2,BVA124,20131,Cliente Demo 131,Quincenal,5044.73
GDL 2,BVA118,20132,Cliente Demo 132,Quincenal,11347.44
GDL 2,BVA116,20133,Cliente Demo 133,Semanal,7546.59
MTY 1,BVA201,20134,Cliente Demo 134,Mensual,10071.24
GDL 2,BVA116,20135,Cliente Demo 135,Semanal,0.0
GDL 2,BVA118,20136,Cliente Demo 136,Semanal,0.0
GDL 1,BVA201,20137,Cliente Demo 137,Mensual,0.0
GDL 2,BVA124,20138,Cliente Demo 138,Mensual,13815.82
MTY 1,BVA201,20139,Cliente Demo 139,Quincenal,2780.0
MTY 1,BVA200,20140,Cliente Demo 140,Mensual,0.0
GDL 2,BVA118,20141,Cliente Demo 141,Quincenal,8927.53
GDL 2,BVA116,20142,Cliente Demo 142,Mensual,16133.57
GDL 2,BVA117,20143,Cliente Demo 143,Semanal,0.0
GDL 2,BVA116,20144,Cliente Demo 144,Quincenal,0.0
GDL 2,BVA116,20145,Cliente Demo 145,Quincenal,0.0
GDL 1,BVA200,20146,Cliente Demo 146,Quincenal,0.0
GDL 2,BVA124,20147,Cliente Demo 147,Semanal,0.0
GDL 2,BVA116,20148,Cliente Demo 148,Semanal,0.0
GDL 2,BVA118,20149,Cliente Demo 149,Semanal,0.0
MTY 1,BVA200,20150,Cliente Demo 150,Semanal,0.0
GDL 2,BVA117,20151,Cliente Demo 151,Semanal,15078.27
GDL 2,BVA117,20152,Cliente Demo 152,Quincenal,0.0
GDL 2,BVA117,20153,Cliente Demo 153,Semanal,9604.72
MTY 1,BVA201,20154,Cliente Demo 154,Quincenal,0.0
GDL 2,BVA116,20155,Cliente Demo 155,Semanal,5119.84
GDL 1,BVA201,20156,Cliente Demo 156,Mensual,0.0
GDL 1,BVA200,20157,Cliente Demo 157,Quincenal,0.0
GDL 2,BVA117,20158,Cliente Demo 158,Mensual,2384.19
GDL 1,BVA201,20159,Cliente Demo 159,Quincenal,10504.34
GDL 2,BVA124,20160,Cliente Demo 160,Mensual,5150.78
GDL 1,BVA200,20161,Cliente Demo 161,Semanal,0.0
GDL 1,BVA201,20162,Cliente Demo 162,Semanal,0.0
GDL 2,BVA124,20163,Cliente Demo 163,Semanal,14986.43
GDL 2,BVA116,20164,Cliente Demo 164,Quincenal,3953.66
MTY 1,BVA200,20165,Cliente Demo 165,Mensual,494.63
GDL 2,BVA117,20166,Cliente Demo 166,Semanal,2722.88
GDL 2,BVA116,20167,Cliente Demo 167,Mensual,0.0
GDL 2,BVA118,20168,Cliente Demo 168,Mensual,15767.85
GDL 1,BVA200,20169,Cliente Demo 169,Semanal,0.0
GDL 1,BVA200,20170,Cliente Demo 170,Semanal,0.0
GDL 2,BVA117,20171,Cliente Demo 171,Mensual,12071.15
GDL 2,BVA116,20172,Cliente Demo 172,Semanal,3404.07
GDL 2,BVA124,20173,Cliente Demo 173,Semanal,0.0
GDL 1,BVA200,20174,Cliente Demo 174,Semanal,0.0
GDL 2,BVA124,20175,Cliente Demo 175,Quincenal,7081.55
GDL 1,BVA201,20176,Cliente Demo 176,Mensual,0.0
GDL 2,BVA117,20177,Cliente Demo 177,Mensual,1131.3
MTY 1,BVA201,20178,Cliente Demo 178,Quincenal,0.0
GDL 2,BVA118,20179,Cliente Demo 179,Mensual,13363.2
GDL 2,BVA117,20180,Cliente Demo 180,Semanal,1765.54
GDL 2,BVA124,20181,Cliente Demo 181,Mensual,0.0
MTY 1,BVA201,20182,Cliente Demo 182,Semanal,0.0
MTY 1,BVA200,20183,Cliente Demo 183,Quincenal,0.0
GDL 2,BVA116,20184,Cliente Demo 184,Semanal,0.0
GDL 1,BVA200,20185,Cliente Demo 185,Mensual,6595.41
MTY 1,BVA200,20186,Cliente Demo 186,Mensual,0.0
GDL 1,BVA201,20187,Cliente Demo 187,Mensual,5559.05
GDL 2,BVA124,20188,Cliente Demo 188,Quincenal,0.0
GDL 2,BVA124,20189,Cliente Demo 189,Quincenal,8726.09
GDL 2,BVA118,20190,Cliente Demo 190,Mensual,12046.98
MTY 1,BVA200,20191,Cliente Demo 191,Semanal,16881.89
MTY 1,BVA200,20192,Cliente Demo 192,Quincenal,13266.53
GDL 1,BVA200,20193,Cliente Demo 193,Mensual,0.0
GDL 2,BVA124,20194,Cliente Demo 194,Mensual,0.0
GDL 2,BVA124,20195,Cliente Demo 195,Quincenal,4942.07
GDL 1,BVA201,20196,Cliente Demo 196,Quincenal,10832.88
MTY 1,BVA201,20197,Cliente Demo 197,Quincenal,1210.24
MTY 1,BVA201,20198,Cliente Demo 198,Semanal,0.0
GDL 1,BVA201,20199,Cliente Demo 199,Semanal,10864.12
GDL 1,BVA201,20200,Cliente Demo 200,Mensual,6216.12
GDL 2,BVA118,20201,Cliente Demo 201,Quincenal,0.0
GDL 2,BVA124,20202,Cliente Demo 202,Semanal,0.0
MTY 1,BVA200,20203,Cliente Demo 203,Quincenal,1629.94
GDL 1,BVA201,20204,Cliente Demo 204,Mensual,13188.94
GDL 2,BVA116,20205,Cliente Demo 205,Semanal,9070.2
GDL 2,BVA118,20206,Cliente Demo 206,Semanal,0.0
GDL 1,BVA201,20207,Cliente Demo 207,Semanal,7996.44
GDL 2,BVA116,20208,Cliente Demo 208,Mensual,0.0
GDL 2,BVA124,20209,Cliente Demo 209,Quincenal,0.0
GDL 2,BVA118,20210,Cliente Demo 210,Semanal,0.0
GDL 1,BVA201,20211,Cliente Demo 211,Mensual,12596.13
GDL 1,BVA201,20212,Cliente Demo 212,Quincenal,5116.97
GDL 2,BVA124,20213,Cliente Demo 213,Mensual,10747.08
GDL 1,BVA201,20214,Cliente Demo 214,Quincenal,0.0
GDL 2,BVA118,20215,Cliente Demo 215,Mensual,1921.0
GDL 2,BVA124,20216,Cliente Demo 216,Quincenal,0.0
GDL 1,BVA201,20217,Cliente Demo 217,Semanal,2721.69
GDL 1,BVA201,20218,Cliente Demo 218,Quincenal,17119.2
MTY 1,BVA200,20219,Cliente Demo 219,Mensual,0.0
GDL 1,BVA201,20220,Cliente Demo 220,Mensual,3576.85
GDL 1,BVA200,20221,Cliente Demo 221,Quincenal,0.0
GDL 2,BVA117,20222,Cliente Demo 222,Semanal,15751.14
GDL 2,BVA116,20223,Cliente Demo 223,Semanal,13260.38
GDL 2,BVA118,20224,Cliente Demo 224,Quincenal,0.0
GDL 2,BVA117,20225,Cliente Demo 225,Quincenal,11960.47
MTY 1,BVA201,20226,Cliente Demo 226,Mensual,0.0
GDL 2,BVA118,20227,Cliente Demo 227,Semanal,15330.76
MTY 1,BVA201,20228,Cliente Demo 228,Quincenal,4719.12
GDL 1,BVA201,20229,Cliente Demo 229,Semanal,8962.82
GDL 1,BVA200,20230,Cliente Demo 230,Quincenal,0.0
GDL 2,BVA116,20231,Cliente Demo 231,Quincenal,17781.72
GDL 1,BVA201,20232,Cliente Demo 232,Semanal,17009.85
GDL 2,BVA117,20233,Cliente Demo 233,Quincenal,0.0
GDL 2,BVA117,20234,Cliente Demo 234,Quincenal,0.0
GDL 1,BVA201,20235,Cliente Demo 235,Mensual,16676.9
GDL 2,BVA117,20236,Cliente Demo 236,Quincenal,3496.18
GDL 2,BVA118,20237,Cliente Demo 237,Quincenal,10352.63
GDL 1,BVA201,20238,Cliente Demo 238,Quincenal,16504.14
GDL 2,BVA118,20239,Cliente Demo 239,Mensual,900.84
MTY 1,BVA200,20240,Cliente Demo 240,Semanal,0.0
MTY 1,BVA200,20241,Cliente Demo 241,Mensual,0.0
MTY 1,BVA201,20242,Cliente Demo 242,Mensual,0.0
GDL 2,BVA117,20243,Cliente Demo 243,Semanal,17487.73
GDL 2,BVA116,20244,Cliente Demo 244,Mensual,0.0
MTY 1,BVA201,20245,Cliente Demo 245,Semanal,8693.59
GDL 2,BVA116,20246,Cliente Demo 246,Mensual,15558.15
MTY 1,BVA200,20247,Cliente Demo 247,Semanal,15248.52
MTY 1,BVA200,20248,Cliente Demo 248,Quincenal,0.0
MTY 1,BVA200,20249,Cliente Demo 249,Mensual,14971.8
GDL 2,BVA116,20250,Cliente Demo 250,Mensual,0.0
GDL 2,BVA116,20251,Cliente Demo 251,Mensual,10853.98
MTY 1,BVA200,20252,Cliente Demo 252,Mensual,0.0
GDL 2,BVA124,20253,Cliente Demo 253,Quincenal,0.0
GDL 2,BVA117,20254,Cliente Demo 254,Mensual,1662.07
GDL 1,BVA201,20255,Cliente Demo 255,Quincenal,0.0
MTY 1,BVA201,20256,Cliente Demo 256,Quincenal,0.0
GDL 1,BVA200,20257,Cliente Demo 257,Quincenal,13128.37
GDL 1,BVA200,20258,Cliente Demo 258,Quincenal,1456.81
GDL 2,BVA118,20259,Cliente Demo 259,Semanal,5880.64
